Illinois|Champaign|M|24.7|31.2
Illinois|Christian|M|28.1|38.0
Illinois|Clark|M|30.8|38.0
Illinois|Clay|M|29.4|35.8
Illinois|Clinton|M|30.7|36.9
Illinois|Coles|M|27.8|35.6
Illinois|Cook|M|24.0|30.6
Illinois|Crawford|M|29.9|38.0
Illinois|Cumberland|M|27.2|35.5
Illinois|De Witt|M|28.5|38.6
Illinois|DeKalb|M|26.7|34.1
Illinois|Douglas|M|29.6|37.2
Illinois|DuPage|M|22.6|31.8
Illinois|Edgar|M|30.3|36.8
Illinois|Edwards|M|26.6|36.5
Illinois|Effingham|M|25.4|31.8
Illinois|Fayette|M|30.1|36.3
Illinois|Ford|M|27.7|37.8
Illinois|Franklin|M|28.3|37.0
Illinois|Fulton|M|28.9|37.1
Illinois|Gallatin|M|29.5|40.1
Illinois|Greene|M|28.6|35.9
Illinois|Grundy|M|27.7|37.9
Illinois|Hamilton|M|29.1|37.8
Illinois|Hancock|M|28.7|35.1
Illinois|Hardin|M|30.3|39.1
Illinois|Henderson|M|29.0|37.1
Illinois|Henry|M|27.2|36.7
Illinois|Iroquois|M|28.9|36.8
Illinois|Jackson|M|25.3|34.5
Illinois|Jasper|M|28.5|35.7
Illinois|Jefferson|M|28.5|35.7
Illinois|Jersey|M|28.7|35.0
Illinois|Jo Daviess|M|27.3|34.5
Illinois|Johnson|M|30.5|37.7
Illinois|Kane|M|26.6|36.0
Illinois|Kankakee|M|29.8|39.7
Illinois|Kendall|M|27.1|35.1
Illinois|Knox|M|28.7|37.7
Illinois|La Salle|M|28.4|36.4
Illinois|Lake|M|23.2|29.1
Illinois|Lawrence|M|29.7|41.3
Illinois|Lee|M|28.8|34.9
Illinois|Livingston|M|29.9|38.9
Illinois|Logan|M|29.0|39.1
Illinois|Macon|M|27.7|38.6
Illinois|Macoupin|M|29.2|35.6
Illinois|Madison|M|29.2|34.2
Illinois|Marion|M|29.2|37.4
Illinois|Marshall|M|27.8|35.8
Illinois|Mason|M|27.6|36.8
Illinois|Massac|M|29.2|38.0
Illinois|McDonough|M|26.9|34.8
Illinois|McHenry|M|26.2|31.8
Illinois|McLean|M|25.4|34.7
Illinois|Menard|M|26.8|36.8
Illinois|Mercer|M|28.3|37.0
Illinois|Monroe|M|26.3|35.8
Illinois|Montgomery|M|30.2|36.5
Illinois|Morgan|M|29.4|37.0
Illinois|Moultrie|M|28.6|38.3
Illinois|Ogle|M|29.3|34.9
Illinois|Peoria|M|26.8|32.1
Illinois|Perry|M|29.8|38.2
Illinois|Piatt|M|26.1|35.5
Illinois|Pike|M|28.9|35.4
Illinois|Pope|M|28.9|36.5
Illinois|Pulaski|M|31.2|39.1
Illinois|Putnam|M|27.4|36.4
Illinois|Randolph|M|29.8|39.4
Illinois|Richland|M|27.0|36.6
Illinois|Rock Island|M|27.9|34.3
